T08,"Enrolment in primary, secondary and tertiary education levels",...3,...4,...5,...6,...7
30,Eastern Asia,2005,Students enrolled in primary education (thousands),"126,355",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2005,Gross enrollment ratio - Primary (male),103.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2005,Gross enrollment ratio - Primary (female),103.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2005,Students enrolled in secondary education (thousands),"115,210",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2005,Gross enrollment ratio - Secondary (male),70.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2005,Gross enrollment ratio - Secondary (female),69.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2005,Students enrolled in upper secondary education (thousands),"42,511",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2005,Gross enrollment ratio - Upper secondary level (male),48.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2005,Gross enrollment ratio - Upper secondary level (female),47.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2010,Students enrolled in primary education (thousands),"113,592",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2010,Gross enrollment ratio - Primary (male),100.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2010,Gross enrollment ratio - Primary (female),98.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2010,Students enrolled in secondary education (thousands),"113,518",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2010,Gross enrollment ratio - Secondary (male),89.3,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2010,Gross enrollment ratio - Secondary (female),89.1,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2010,Students enrolled in upper secondary education (thousands),"51,852",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2010,Gross enrollment ratio - Upper secondary level (male),79.5,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2010,Gross enrollment ratio - Upper secondary level (female),78.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2015,Students enrolled in primary education (thousands),"107,609",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2015,Gross enrollment ratio - Primary (male),96.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2015,Gross enrollment ratio - Primary (female),96.6,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2015,Students enrolled in secondary education (thousands),"99,601",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2015,Gross enrollment ratio - Secondary (male),84.6,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2015,Gross enrollment ratio - Secondary (female),86.5,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2015,Students enrolled in upper secondary education (thousands),"48,631",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2015,Gross enrollment ratio - Upper secondary level (male),79.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2015,Gross enrollment ratio - Upper secondary level (female),83.3,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2020,Students enrolled in primary education (thousands),"117,708",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2020,Gross enrollment ratio - Primary (male),102.2,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2020,Gross enrollment ratio - Primary (female),103.1,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2020,Students enrolled in secondary education (thousands),"100,664",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2020,Gross enrollment ratio - Secondary (male),89.6,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2020,Gross enrollment ratio - Secondary (female),91.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2020,Students enrolled in upper secondary education (thousands),"46,271",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2020,Gross enrollment ratio - Upper secondary level (male),82.3,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
30,Eastern Asia,2020,Gross enrollment ratio - Upper secondary level (female),84.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2005,Students enrolled in primary education (thousands),"68,253",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2005,Gross enrollment ratio - Primary (male),106.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2005,Gross enrollment ratio - Primary (female),103.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2005,Students enrolled in secondary education (thousands),"40,815",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2005,Gross enrollment ratio - Secondary (male),62.6,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2005,Gross enrollment ratio - Secondary (female),62.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2005,Students enrolled in upper secondary education (thousands),"12,468",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2005,Gross enrollment ratio - Upper secondary level (male),43.9,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2005,Gross enrollment ratio - Upper secondary level (female),43.3,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2010,Students enrolled in primary education (thousands),"68,327",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2010,Gross enrollment ratio - Primary (male),106.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2010,Gross enrollment ratio - Primary (female),107.1,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2010,Students enrolled in secondary education (thousands),"45,570",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2010,Gross enrollment ratio - Secondary (male),70.5,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2010,Gross enrollment ratio - Secondary (female),71.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2010,Students enrolled in upper secondary education (thousands),"15,572",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2010,Gross enrollment ratio - Upper secondary level (male),55.3,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2010,Gross enrollment ratio - Upper secondary level (female),54.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2015,Students enrolled in primary education (thousands),"68,713",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2015,Gross enrollment ratio - Primary (male),108.9,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2015,Gross enrollment ratio - Primary (female),106.1,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2015,Students enrolled in secondary education (thousands),"51,504",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2015,Gross enrollment ratio - Secondary (male),80.7,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2015,Gross enrollment ratio - Secondary (female),81.2,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2015,Students enrolled in upper secondary education (thousands),"18,707",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2015,Gross enrollment ratio - Upper secondary level (male),67.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2015,Gross enrollment ratio - Upper secondary level (female),65.9,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2020,Students enrolled in primary education (thousands),"68,364",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2020,Gross enrollment ratio - Primary (male),107.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2020,Gross enrollment ratio - Primary (female),104.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2020,Students enrolled in secondary education (thousands),"56,272",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2020,Gross enrollment ratio - Secondary (male),82.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2020,Gross enrollment ratio - Secondary (female),84.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2020,Students enrolled in upper secondary education (thousands),"20,158",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2020,Gross enrollment ratio - Upper secondary level (male),65.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
35,South-eastern Asia,2020,Gross enrollment ratio - Upper secondary level (female),69.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2005,Students enrolled in primary education (thousands),"181,481",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2005,Gross enrollment ratio - Primary (male),104.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2005,Gross enrollment ratio - Primary (female),100.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2005,Students enrolled in secondary education (thousands),"120,738",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2005,Gross enrollment ratio - Secondary (male),54.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2005,Gross enrollment ratio - Secondary (female),47.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2005,Students enrolled in upper secondary education (thousands),"50,578",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2005,Gross enrollment ratio - Upper secondary level (male),41.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2005,Gross enrollment ratio - Upper secondary level (female),33.9,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2010,Students enrolled in primary education (thousands),"191,840",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2010,Gross enrollment ratio - Primary (male),105.9,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2010,Gross enrollment ratio - Primary (female),105.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2010,Students enrolled in secondary education (thousands),"143,374",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2010,Gross enrollment ratio - Secondary (male),61.1,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2010,Gross enrollment ratio - Secondary (female),57.1,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2010,Students enrolled in upper secondary education (thousands),"64,314",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2010,Gross enrollment ratio - Upper secondary level (male),49.6,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2010,Gross enrollment ratio - Upper secondary level (female),44.6,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2015,Students enrolled in primary education (thousands),"196,155",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2015,Gross enrollment ratio - Primary (male),103.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2015,Gross enrollment ratio - Primary (female),109.8,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2015,Students enrolled in secondary education (thousands),"170,442",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2015,Gross enrollment ratio - Secondary (male),69.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2015,Gross enrollment ratio - Secondary (female),68.9,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2015,Students enrolled in upper secondary education (thousands),"81,646",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2015,Gross enrollment ratio - Upper secondary level (male),59.6,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2015,Gross enrollment ratio - Upper secondary level (female),56.7,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2020,Students enrolled in primary education (thousands),"184,630",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2020,Gross enrollment ratio - Primary (male),102.5,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2020,Gross enrollment ratio - Primary (female),102.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2020,Students enrolled in secondary education (thousands),"179,943",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2020,Gross enrollment ratio - Secondary (male),72.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2020,Gross enrollment ratio - Secondary (female),71.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2020,Students enrolled in upper secondary education (thousands),"90,470",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2020,Gross enrollment ratio - Upper secondary level (male),65.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
34,Southern Asia,2020,Gross enrollment ratio - Upper secondary level (female),62.4,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2005,Students enrolled in primary education (thousands),"24,173",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2005,Gross enrollment ratio - Primary (male),105.0,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2005,Gross enrollment ratio - Primary (female),95.6,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2005,Students enrolled in secondary education (thousands),"19,714",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2005,Gross enrollment ratio - Secondary (male),79.7,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2005,Gross enrollment ratio - Secondary (female),68.6,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2005,Students enrolled in upper secondary education (thousands),"7,309",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2005,Gross enrollment ratio - Upper secondary level (male),67.1,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2005,Gross enrollment ratio - Upper secondary level (female),56.2,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2010,Students enrolled in primary education (thousands),"25,404",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2010,Gross enrollment ratio - Primary (male),105.5,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2010,Gross enrollment ratio - Primary (female),98.1,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2010,Students enrolled in secondary education (thousands),"22,353",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2010,Gross enrollment ratio - Secondary (male),79.7,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2010,Gross enrollment ratio - Secondary (female),72.2,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2010,Students enrolled in upper secondary education (thousands),"8,856",NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2010,Gross enrollment ratio - Upper secondary level (male),66.7,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2010,Gross enrollment ratio - Upper secondary level (female),60.3,NA,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2015,Students enrolled in primary education (thousands),"25,733",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2015,Gross enrollment ratio - Primary (male),103.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2015,Gross enrollment ratio - Primary (female),96.9,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2015,Students enrolled in secondary education (thousands),"25,183",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2015,Gross enrollment ratio - Secondary (male),85.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
145,Western Asia,2015,Gross enrollment ratio - Secondary (female),80.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
